±àºÅ,ÆµÂÊ,´óÓÚ49.5
7497.0,49.45070975607099,0.0
7695.0,49.506269973462,1.0
9249.0,49.494581051047,0.0
2471.0,49.532331152071,1.0
4393.0,49.474021686312,0.0
8769.0,49.430236197159005,0.0
7494.0,49.442279623619,0.0
100.0,49.48003620642,0.0
8232.0,49.461537863631,0.0
6299.0,49.479178822839,0.0
1734.0,49.476738685193006,0.0
861.0,49.518666389814996,1.0
8909.0,49.42637219983301,0.0
7047.0,49.472196928244,0.0
3276.0,49.50006727987501,1.0
7383.0,49.442373902412996,0.0
2939.0,49.492117884296,0.0
6099.0,49.505292483938,1.0
1706.0,49.53587270895,1.0
4246.0,49.473989714596996,0.0
6181.0,49.480327826552,0.0
2520.0,49.491550961607,0.0
2997.0,49.508024029444,1.0
4506.0,49.482764972595994,0.0
4266.0,49.52133292792301,1.0
3604.0,49.519738843774995,1.0
4085.0,49.48531694231399,0.0
7151.0,49.423876469024,0.0
1900.0,49.459053304721,0.0
1317.0,49.47720939191901,0.0
3959.0,49.502998289904006,1.0
5821.0,49.516923410634,1.0
8374.0,49.50565663679,1.0
2601.0,49.476868227989996,0.0
8463.0,49.521949395414,1.0
6784.0,49.478292965326006,0.0
8959.0,49.504596871187,1.0
3583.0,49.476825494102,0.0
9366.0,49.494457575218,0.0
1542.0,49.456689070410995,0.0
2006.0,49.480133914032,0.0
2283.0,49.49709858617501,0.0
9429.0,49.438495756586,0.0
198.0,49.452636381481,0.0
6123.0,49.485345112994004,0.0
4958.0,49.484669942061004,0.0
9529.0,49.51415431917,1.0
1338.0,49.451819488417996,0.0
7166.0,49.499816064979,0.0
9138.0,49.457504578050006,0.0
1828.0,49.481653988387,0.0
9202.0,49.450038448464,0.0
5050.0,49.483890956909,0.0
4881.0,49.444602602672994,0.0
1841.0,49.461457290696,0.0
5099.0,49.511354776290005,1.0
7503.0,49.520747096388995,1.0
5582.0,49.490043784926,0.0
4664.0,49.48795183174501,0.0
4890.0,49.456128660302,0.0
694.0,49.475291108624,0.0
660.0,49.519616920897,1.0
9036.0,49.492174944342004,0.0
7389.0,49.458299035877,0.0
8137.0,49.489144026819,0.0
8146.0,49.469355266404,0.0
5214.0,49.49737449679,0.0
5880.0,49.492271599195995,0.0
1959.0,49.464708834765,0.0
5313.0,49.479610819990995,0.0
3929.0,49.500285810801,1.0
5286.0,49.436888483419,0.0
6820.0,49.456853740366,0.0
624.0,49.43328801827,0.0
9560.0,49.465588979714,0.0
7042.0,49.446528554848,0.0
5673.0,49.458417427126996,0.0
2953.0,49.51289753243901,1.0
1296.0,49.513370316241996,1.0
5293.0,49.490432384882,0.0
2858.0,49.454942215151995,0.0
3633.0,49.531918705803,1.0
3914.0,49.463729835835,0.0
2734.0,49.470619396002995,0.0
9550.0,49.439952501503,0.0
2251.0,49.50700850118901,1.0
2782.0,49.513968464622,1.0
1795.0,49.51050079593001,1.0
2385.0,49.50334683406201,1.0
2619.0,49.49574566190601,0.0
8032.0,49.44505501302201,0.0
4383.0,49.502601990448,1.0
5362.0,49.466740400355995,0.0
9679.0,49.469900963318004,0.0
1308.0,49.546746497704,1.0
6753.0,49.458342369694,0.0
3483.0,49.480196982235,0.0
8058.0,49.45700330625,0.0
3670.0,49.469030184204996,0.0
9665.0,49.50078243245,1.0
3749.0,49.43442572314,0.0
2590.0,49.450702711517,0.0
9574.0,49.447286406276,0.0
4144.0,49.49859414703,0.0
5994.0,49.468950653876,0.0
3694.0,49.508018070064004,1.0
4126.0,49.470901171079,0.0
2199.0,49.472059420085,0.0
5269.0,49.479490329097004,0.0
6763.0,49.525242761522996,1.0
9321.0,49.501836079758995,1.0
6929.0,49.47027523560799,0.0
6316.0,49.482346055316,0.0
9294.0,49.514638986769,1.0
5195.0,49.517043873988,1.0
8795.0,49.528617281586,1.0
4538.0,49.466567890873,0.0
7535.0,49.503655956946,1.0
4539.0,49.461362662481,0.0
1700.0,49.486900542587996,0.0
5226.0,49.48111764602,0.0
8865.0,49.4856146508,0.0
9583.0,49.535986600149,1.0
5868.0,49.514767872336996,1.0
4600.0,49.52267003192701,1.0
1312.0,49.49124802427,0.0
6554.0,49.470884641142995,0.0
1214.0,49.469277556048,0.0
5128.0,49.510241460692995,1.0
7987.0,49.457964701495,0.0
1716.0,49.527687668595,1.0
4654.0,49.50276992076199,1.0
9792.0,49.489825182226,0.0
3445.0,49.462225382964,0.0
5394.0,49.487333760168,0.0
8158.0,49.487223906078995,0.0
9377.0,49.5715656268,1.0
3243.0,49.485168453774,0.0
6015.0,49.460597352563,0.0
712.0,49.448572605203,0.0
7710.0,49.534285916588004,1.0
2153.0,49.402187249094,0.0
8155.0,49.461218044287996,0.0
4510.0,49.451764081849,0.0
9795.0,49.483893760860006,0.0
4644.0,49.454676422272996,0.0
5616.0,49.474861243092,0.0
6214.0,49.50261403315601,1.0
855.0,49.511144557621,1.0
899.0,49.480123995009,0.0
8926.0,49.529627176448,1.0
494.0,49.438032177874,0.0
8975.0,49.458640887692006,0.0
2387.0,49.50497763244501,1.0
3000.0,49.45982760369,0.0
3406.0,49.464225039789,0.0
1180.0,49.476695572363994,0.0
301.0,49.46184052288,0.0
4301.0,49.465091527196996,0.0
5604.0,49.437421926544,0.0
2777.0,49.504595684688,1.0
5035.0,49.495791339996,0.0
1421.0,49.489826784385,0.0
6019.0,49.43799307491901,0.0
